rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1951	-1.3	0.6	1.7	8.8	12.4	16.9	17.9	19	15	5.8	6.6	1.3
1952	-0.3	-1.5	-3.5	10.1	11.6	15.6	18.5	18.9	11.8	7.6	1.9	-1.4
1953	-2.2	-1.5	2.3	9	12.5	17.7	19.5	16.4	13.1	9	2.5	-0.9
1954	-8.2	-8.7	3.4	5.2	13.1	18	16.9	17.7	14.2	7.9	2.7	2.7
1955	-3.5	-2.9	-0.5	5.2	11.5	15.5	18.2	17.5	13.7	8.5	3.2	1.1
1956	-1.1	-12.4	0.3	6.7	12.6	16.2	17.3	15.9	12.8	7.7	-0.8	-0.5
1957	-1.6	2.8	3.4	8.3	10.4	18.2	19.1	16.4	12.5	8.4	3.9	-0.9
1958	-2.9	1.7	-2.2	5.4	16.3	15.4	18.9	17.8	13.2	9.8	4.1	1.5
1959	-1.6	-2.9	5.2	8.9	13.3	15.9	20	18	11.4	7.1	2.4	0.5
1960	-3.2	-2.7	3	6.5	12.9	16.9	16.7	17.1	12.5	10	5.6	2.5
1961	-4.4	2	6.2	11.2	11.8	17.8	16.7	17.1	14.6	10.7	4	-4.3
1962	-0.1	-1.8	-1.1	10.5	11.4	14.6	16.3	17.6	12.4	7.6	4.4	-4.1
1963	-10.7	-8.8	-0.2	9	14.3	17.2	19.3	18.4	15.2	8.4	7.3	-4.9
1964	-5.5	-3.3	-1.8	8.3	13.3	19.4	18.6	16.3	13.1	8.4	4.5	-1.1
1965	-1.2	-6.1	1	6.4	10.7	16.2	16.3	14.9	13.9	6.8	-0.4	0.9
1966	-5.4	1.9	2.6	9.6	12.9	16.2	17.3	16.5	13	12.2	2.7	0
1967	-3.4	0.5	4.9	7.8	13.7	16	19.2	17.2	15.5	10.7	3.7	-1.6
1968	-3.9	0.2	3.6	9.3	12.3	17.5	16.6	16.5	13.7	8.3	4.7	-4.6
1969	-6	-2.4	-0.9	7	14.9	15.7	18	16.3	13.6	8	5.3	-6.9
1970	-5	-3.9	1.1	7.6	11.7	16.6	17.2	17	11.8	7.8	5.3	0.3
1971	-4.6	0.5	0	8.4	14.8	15.1	17.7	18.5	11.2	7.7	2.4	2.7
1972	-6.4	-0.9	4.7	8.1	13.1	16.8	18.8	16.5	11.4	5.8	4.3	-1.6
1973	-2.3	0.8	3.3	7.2	12.8	15.3	17.1	17.2	13.2	6.9	1.4	-1.1
1974	-0.5	1.9	4.6	7.6	11.6	13.8	16	18	13.1	5.8	3.2	2.1
1975	2.1	-1.6	4.2	7.5	13.8	15.7	18.3	17.7	15.6	8.1	1.1	-0.1
