rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1951	27.9	27.4	40.4	61.7	137.5	78.4	65.8	46.3	44.9	0.1	36.8	20.2
1952	51	82.4	39.5	24.9	49.9	75.2	42.6	62.4	98.9	81.6	67.7	16.9
1953	49.4	23.2	13.8	37.7	85.9	56.5	73.2	67.4	46.9	22	21.7	17.7
1954	27.6	16.3	18.1	79.8	55.4	66.9	59.9	39	20.7	21.4	18.5	71.3
1955	30.8	28	25.9	37.1	61.7	156.1	103.4	115.3	41.6	56.9	17.5	30.5
1956	10.9	25.7	32.5	29.9	41	116.2	30	75.5	31	52.9	41.5	34.4
1957	18.7	29.5	39.4	47.7	40.5	27.6	138	68.7	51.5	14.7	21.8	20
1958	40.9	38.2	47.6	17.3	39.9	74.2	29.3	113.1	58.8	44.3	33.8	27.2
1959	41.5	7.9	23.8	51.9	36.4	130.5	126.6	33.5	7	9.3	42.4	60.1
1960	26.5	24.9	29.7	59.6	67.4	114.4	284	163.2	57.1	41.4	37.8	55.9
1961	25.5	26.9	41	13	117.1	82.2	127.7	67.8	16.8	6.8	79.1	71.4
1962	36.6	40.5	37	96.7	145.1	75	153.1	45.4	65.8	7.3	84.2	41.9
1963	31.1	33.2	11.1	34.5	67.7	64.3	95.4	68.3	99.1	72.3	42.9	13.3
1964	5.9	37.7	71.1	29.5	57.7	73.5	57.5	101.5	43.8	58.5	90.8	42.6
1965	43.9	22	30	27.7	115.7	132.4	53.5	90.6	61.4	1.4	33.3	44.4
1966	19	63.8	37.4	68.3	148.7	95.7	147	113.6	17.5	49.5	48.3	46.4
1967	41.2	49	44.6	53.6	81	123.4	92.6	101.7	57.7	59.3	48.1	79.6
1968	48.9	32.5	27.8	87.7	116.1	170	98.7	155.3	35.8	42.3	34.8	20.1
1969	17.2	31.2	29.1	23.7	78.8	68.6	39.5	103.9	6.5	29.9	39.9	29.5
1970	42.6	40.3	31.3	50.8	49.9	62	187.1	110.1	35.4	76.5	49.5	51.6
1971	13.3	23.2	56.2	30.8	65.2	118.4	55.9	52.1	52.8	24.8	36.1	35.9
1972	34.6	20.9	16.2	99.8	86.2	82	103.1	166.3	51	21.8	44.3	4.5
1973	31.8	47.5	6.6	25	42.7	102.7	79.6	39.8	68.4	25	41.3	24.1
1974	55.2	37	1.6	25.6	69	153.7	121.7	60.7	59.3	160.3	74.3	55.4
1975	24.2	11	69.7	50.1	53.8	138.7	90.9	41.1	32.9	82.2	20.6	22.5
1976	81	1	21.3	27.3	78.1	41	69.7	85.1	78.5	43.5	58.6	32.5
1977	43.8	110.2	56.4	59.2	61.6	75.5	98.9	110.7	78	12.3	52.4	26.3
1978	10.2	20.2	25.3	54.9	99	83.2	67.6	130.7	107.6	56.6	29.1	34.7
1979	64	24.3	45.3	90	75.3	89.4	63.2	94	39.2	60.6	37.4	61.5
1980	13.3	29.9	17.7	67.7	48.5	90.9	106	90.1	42.6	106.8	43.7	30.4
