rok X_temp XI_temp XII_temp X_opady XI_opady XII_opady
1951 5.8 6.6 1.3 5.8 6.6 1.3
1952 7.6 1.9 -1.4 7.6 1.9 -1.4
1953 9 2.5 -0.9 9 2.5 -0.9
1954 7.9 2.7 2.7 7.9 2.7 2.7
1955 8.5 3.2 1.1 8.5 3.2 1.1
1956 7.7 -0.8 -0.5 7.7 -0.8 -0.5
1957 8.4 3.9 -0.9 8.4 3.9 -0.9
1958 9.8 4.1 1.5 9.8 4.1 1.5
1959 7.1 2.4 0.5 7.1 2.4 0.5
1960 10 5.6 2.5 10 5.6 2.5
1961 10.7 4 -4.3 10.7 4 -4.3
1962 7.6 4.4 -4.1 7.6 4.4 -4.1
1963 8.4 7.3 -4.9 8.4 7.3 -4.9
1964 8.4 4.5 -1.1 8.4 4.5 -1.1
1965 6.8 -0.4 0.9 6.8 -0.4 0.9
1966 12.2 2.7 0 12.2 2.7 0
1967 10.7 3.7 -1.6 10.7 3.7 -1.6
1968 8.3 4.7 -4.6 8.3 4.7 -4.6
1969 8 5.3 -6.9 8 5.3 -6.9
1970 7.8 5.3 0.3 7.8 5.3 0.3
1971 7.7 2.4 2.7 7.7 2.4 2.7
1972 5.8 4.3 -1.6 5.8 4.3 -1.6
1973 6.9 1.4 -1.1 6.9 1.4 -1.1
1974 5.8 3.2 2.1 5.8 3.2 2.1
1975 8.1 1.1 -0.1 8.1 1.1 -0.1
1976 8.3 4.3 -1.5 8.3 4.3 -1.5
1977 9.1 4.8 -1.9 9.1 4.8 -1.9
1978 8.9 3.3 -3.1 8.9 3.3 -3.1
1979 6 3 2.6 6 3 2.6
1980 8.6 1.8 -0.8 8.6 1.8 -0.8
1981 8.9 3 NA 8.9 3 NA
1982 8.9 3.8 1.1 8.9 3.8 1.1
1983 8.7 1.8 -0.9 8.7 1.8 -0.9
1984 10.4 2.1 -1.8 10.4 2.1 -1.8
1985 8 0.1 1.9 8 0.1 1.9
1986 8.7 4 -0.7 8.7 4 -0.7
1987 9 4.6 0.2 9 4.6 0.2
1988 8.1 -0.5 0.8 8.1 -0.5 0.8
1989 10.1 1.9 0.8 10.1 1.9 0.8
1990 8.8 5.2 -0.6 8.8 5.2 -0.6
1991 7.8 4.1 -2.2 7.8 4.1 -2.2
1992 6.7 3.9 -1.8 6.7 3.9 -1.8
1993 9.2 -1.2 2 9.2 -1.2 2
1994 6.9 3.9 0.8 6.9 3.9 0.8
1995 10 -0.6 -4.5 10 -0.6 -4.5
1996 9.3 5.9 -5.9 9.3 5.9 -5.9
1997 6.8 3.6 0.5 6.8 3.6 0.5
1998 8.3 -0.1 -2.4 8.3 -0.1 -2.4
1999 8.7 1.8 -0.1 8.7 1.8 -0.1
2000 12.4 6.9 1.4 12.4 6.9 1.4
2001 11.8 2.2 -4.2 11.8 2.2 -4.2
2002 7.8 5.4 -5.3 7.8 5.4 -5.3
2003 5.9 4.8 0 5.9 4.8 0
2004 10.4 4.4 0.8 10.4 4.4 0.8
2005 8.7 1.9 -0.9 8.7 1.9 -0.9
2006 10.3 5.2 2.4 10.3 5.2 2.4
2007 7.7 0.8 -1.1 7.7 0.8 -1.1
2008 9.6 4.7 1 9.6 4.7 1
2009 7.7 4.7 -0.9 7.7 4.7 -0.9
2010 5.3 6 -5.3 5.3 6 -5.3
2011 8.1 2 1.6 8.1 2 1.6
2012 8.5 5 -2.8 8.5 5 -2.8
2013 10.1 4.9 1.3 10.1 4.9 1.3
2014 9.6 6 1.1 9.6 6 1.1
2015 7.7 5.4 4 7.7 5.4 4
2016 7.8 3.7 0.2 7.8 3.7 0.2
2017 9.7 4.1 1.7 9.7 4.1 1.7
2018 10.4 4.5 1.2 10.4 4.5 1.2
2019 10.4 5.9 2.7 10.4 5.9 2.7
2020 10.2 4.8 1 10.2 4.8 1
2021 8.8 5.1 -0.1 8.8 5.1 -0.1
2022 11 4.2 0.2 11 4.2 0.2
