rok;ls1_402;ls2_325;sn1_656;sn2_709;zd1_486;zd2_499;ba1_486;ba2_546;kp1_823;kp2_930;kp3_726;kp4_744;kp5_620;kp6_752;wa1_604;wa2_706;wa3_658;sp1_543;sp2_717;sw1_606;sw2_469
1925;1.25;1.243;1.204;1.1;1.284;1.109;1.234;1.328;1.441;1.26;1.361;1.31;1.066;1.216;1.366;1.154;1.41;1.161;1.142;1.112;1.355
1926;1.301;1.148;0.974;0.908;1.378;1.055;1.136;1.071;0.775;0.715;0.854;0.755;1.122;0.916;1.084;0.914;0.854;1.141;1.023;1.103;0.987
1927;0.942;0.821;1.04;1.17;0.942;1.008;0.935;0.97;0.789;0.828;0.894;0.866;1.246;0.963;0.93;0.993;0.914;0.981;1.032;1.069;0.748
1928;1.182;1.195;1.014;1.009;1.039;0.935;1.091;0.861;0.92;0.912;0.955;0.959;0.91;0.979;0.731;0.92;0.855;1.097;1.081;1.148;0.819
1929;0.947;1.151;0.976;0.99;0.954;0.848;1.218;0.975;0.943;0.861;0.887;1.076;0.916;1.085;0.953;0.836;0.937;1.231;1.023;0.979;0.909
1930;1.006;0.92;0.89;0.801;1.268;0.944;1.101;1.175;1.003;1.003;0.964;1.155;0.86;1.143;0.823;0.863;0.814;0.945;1.055;1.092;1.023
1931;0.976;0.509;0.789;0.872;0.797;0.853;1.092;1.054;1.041;1.094;1.09;1.134;1.042;1.115;1.04;0.794;0.9;1.027;1.052;0.961;0.918
1932;1;1.036;1.117;1.005;1.24;1.016;0.984;0.839;1.001;0.863;1.114;1.041;1.26;1.145;0.995;0.878;0.966;1.016;1.004;0.969;1.1
1933;1.073;1.282;1.068;1.015;1.335;1.018;0.83;1.004;0.938;0.98;1.017;1.052;1.128;1.033;1.072;0.966;1.15;0.951;1.055;1.232;1.089
1934;0.695;1.277;0.932;0.875;0.972;1.012;1.22;1.128;1.251;1.236;1.012;1.172;0.669;1.062;1.273;1.361;1.337;1.093;1.131;1.367;1.18
1935;0.873;0.738;0.926;0.83;1.061;1.014;1.13;0.921;0.952;0.739;0.901;1.045;0.82;0.936;0.753;1.091;1.096;0.936;0.887;0.901;0.865
1936;0.97;0.997;0.896;0.873;0.876;0.798;0.961;0.956;1.069;1.002;0.903;1.059;0.902;1.079;0.961;1.166;1.143;0.732;0.874;1.027;0.952
1937;0.968;1.067;0.876;0.981;1.013;0.858;1.015;1.062;0.89;0.882;0.975;0.922;1.157;1;0.863;1.159;0.882;1.134;1.009;0.941;1.054
1938;0.558;0.771;1.03;1.008;1.086;0.892;0.969;1.122;0.835;0.862;0.956;0.929;1.042;0.841;0.977;0.955;0.713;1.037;1.117;0.742;0.947
1939;0.798;0.708;0.925;1.108;1.047;0.965;0.994;0.902;0.863;1.051;0.965;0.809;1.033;0.829;0.907;0.69;0.568;1.165;1.029;0.86;0.955
1940;1.035;0.828;1;1.062;0.908;0.933;0.775;0.881;0.744;0.978;1;0.885;1.106;0.754;0.423;0.922;0.72;0.735;1.084;0.898;0.962
1941;0.728;0.619;0.924;0.951;0.966;1.079;0.992;0.887;0.632;0.853;0.819;0.722;1.028;0.675;0.836;0.896;0.682;0.806;0.982;0.858;0.665
1942;0.79;0.59;1.048;1.263;0.754;1.022;0.779;0.84;0.68;1.122;0.906;0.724;1.003;0.832;0.858;1.202;0.735;0.715;1.203;0.914;0.486
1943;1.137;0.807;1.087;1.007;0.933;1.16;0.873;0.927;0.831;1.078;0.975;0.848;0.944;0.901;0.991;1.18;0.828;0.942;0.998;1.041;0.73
1944;1.049;0.945;1;0.941;1.176;1.112;0.791;0.96;1.031;0.945;1.016;1.049;0.98;0.922;1.076;1.121;0.945;1.027;0.988;1.024;1.053
1945;1.283;1.077;1.18;1.26;1.006;1.09;1.182;1.245;1.416;1.448;1.278;1.235;1.192;1.259;1.469;1.584;1.346;1.278;1.272;1.038;1.489
1946;1.398;1.193;1.21;1.095;1.231;1.272;1.225;0.972;1.28;1.204;1.349;1.323;1.232;1.236;1.44;1.576;1.366;1.57;1.187;1.279;1.432
1947;0.758;1.144;1.094;1.008;0.967;0.98;0.844;0.872;0.897;0.923;0.856;0.825;0.978;0.908;0.893;0.94;0.81;1.105;0.851;0.959;0.965
1948;0.896;1.044;0.925;0.976;0.741;0.825;0.429;1.063;1.144;1.051;0.9;1.112;0.801;1;0.809;0.551;1.144;0.659;1.052;0.855;1.042
1949;0.852;1.148;1.053;1.084;1.097;1.11;1.249;1.17;0.981;0.954;1.043;1.008;0.996;0.99;1.325;1.198;1.281;1.026;0.99;1.088;1.16
1950;1.111;1.068;1.006;1.042;0.943;1.016;1.13;0.917;1.094;1.05;1.014;1.059;0.91;1.04;0.973;1.049;0.914;1.057;1.045;1.239;1.296
1951;0.85;0.859;0.902;1.04;0.78;0.76;0.954;0.905;1.342;1.012;0.986;1.128;1.055;1.084;1.058;1.068;1.199;1.172;1.061;1.059;1.114
1952;1.14;1.048;1.14;1.085;1.122;1.011;0.727;0.927;1.178;0.995;1.009;0.986;1.104;1.077;0.982;0.882;1.073;0.564;1.084;1.095;1.06
