rok	Jelenia Gora	Karpacz	Kasprowy Wierch	Klodzko	Krakow	Lesko	Nowy Sacz	Rzeszow	Sanok	Szczawno	Sniezka	Tarnow
1956	16.2	14.6	6.7	16.5	17.3	16.6	17.6	17.1	16.7	16.5	8.1	17.6
1957	17.5	15.5	8.5	17.7	19.1	18.1	18.7	19.2	18.4	17.7	9.7	19.3
1958	16.9	15.2	8.0	17.4	18.9	17.8	18.7	18.8	18.1	17.5	9.0	18.9
1959	18.3	16.5	9.6	18.6	20.0	19.3	19.5	20.7	19.7	18.6	10.9	20.0
1960	15.4	13.6	6.1	15.4	16.7	16.1	16.5	16.9	16.4	15.8	6.7	16.9
1961	14.6	12.8	5.4	15.2	16.7	15.9	16.4	16.8	16.0	15.0	6.1	16.7
1962	14.0	12.5	5.0	14.9	16.3	14.9	15.8	16.1	15.3	14.7	6.4	16.3
1963	16.8	15.6	8.9	17.2	19.3	18.3	19.1	19.7	18.2	17.9	10.0	19.7
1964	16.8	15.2	7.5	17.2	18.6	17.2	18.1	18.5	17.8	17.6	9.5	18.7
1965	14.9	13.1	6.1	15.4	16.3	16.0	16.5	16.7	16.5	15.1	6.7	17.0
1966	15.5	13.6	7.0	16.2	17.3	17.2	17.7	18.1	17.7	16.0	7.5	18.2
1967	17.6	16.1	9.2	17.8	19.2	18.4	19.3	19.1	18.7	18.1	10.4	19.6
1968	15.4	13.5	5.8	15.7	16.6	15.8	16.8	16.9	16.1	15.8	7.1	17.0
1969	17.0	15.5	7.2	17.4	18.0	16.8	17.8	17.5	17.3	18.0	9.5	18.0
1970	16.1	14.4	6.9	16.6	17.2	16.4	17.1	17.3	16.9	16.8	7.7	17.5
1971	16.1	16.1	7.2	16.7	17.7	16.4	17.4	17.5	19.0	17.4	9.0	17.8
1972	17.4	16.4	9.2	17.8	18.8	18.1	18.7	19.3	20.3	17.9	9.7	19.0
1973	15.9	14.5	6.4	16.4	17.1	16.4	17.0	17.6	17.3	16.7	8.0	17.4
1974	14.7	13.0	5.4	15.3	16.0	15.4	16.2	16.4	15.7	14.9	6.0	16.4
1975	16.7	15.3	7.5	17.3	18.3	17.1	18.1	18.5	17.6	17.4	9.2	18.5
1976	17.1	15.8	8.0	17.4	18.0	16.8	17.9	17.9	17.4	17.3	9.8	18.1
1977	15.0	13.8	5.7	15.1	16.6	16.0	16.6	16.7	16.4	15.0	6.8	16.8
1978	14.4	13.4	4.7	14.2	15.6	15.0	16.0	16.0	15.6	14.7	6.3	16.2
1979	13.9	12.3	4.0	14.0	15.7	14.3	15.7	15.4	14.9	13.8	5.0	15.8
1980	14.6	12.7	5.4	14.7	16.4	15.8	16.8	16.8	16.3	14.4	6.1	16.8
1981	15.8	14.2	6.5	15.9	17.5	16.6	17.9	18.1	17.6	15.8	7.6	18.1
1982	17.1	15.6	7.5	17.3	18.6	16.8	18.3	18.2	17.4	17.1	9.6	18.8
1983	18.5	16.8	8.6	18.6	19.4	17.0	18.8	18.6	17.7	18.9	11.2	19.0
1984	14.3	13.9	4.9	14.4	15.6	14.4	15.7	16.0	15.2	14.3	6.3	16.0
1985	16.2	16.0	6.8	16.4	17.6	16.2	17.5	17.4	16.9	16.3	8.2	17.8
1986	15.8	15.6	6.4	15.7	17.0	15.7	17.0	17.1	16.6	15.9	7.8	17.5
1987	16.4	16.3	8.9	16.5	18.9	18.3	19.3	19.3	19.2	16.2	8.6	19.5
1988	16.9	16.8	8.7	17.0	19.1	18.0	19.2	19.3	18.7	17.0	9.0	19.7
1989	16.5	16.2	6.8	16.6	17.9	16.9	17.5	18.1	17.5	16.3	8.2	18.3
1990	15.6	15.4	6.3	15.9	16.9	15.8	17.0	16.9	16.4	10.5	7.1	17.1
1991	17.7	17.3	8.7	17.9	19.5	17.7	19.0	19.1	18.5	17.6	10.0	19.6
1992	18.4	17.9	8.7	18.2	19.8	18.0	19.2	19.2	18.7	18.7	10.2	19.7
1993	15.4	15.1	5.8	15.7	17.0	15.8	16.9	17.1	16.4	15.4	7.0	17.1
1994	19.8	19.7	10.7	19.6	20.8	19.5	20.5	20.6	20.0	20.2	13.1	21.2
1995	19.0	18.9	10.7	19.1	20.4	18.9	19.6	20.0	19.5	19.2	11.9	20.8
1996	14.9	14.4	5.4	15.3	16.6	15.5	16.5	16.9	16.1	15.1	6.5	17.1
1997	15.9	15.4	6.6	15.9	17.4	16.0	17.1	17.4	16.7	16.3	8.0	17.7
1998	16.4	15.9	7.5	16.8	18.3	17.1	18.2	18.3	17.6	16.7	7.8	18.6
1999	17.8	17.7	9.3	18.1	20.3	18.7	19.7	20.0	19.6	18.1	10.0	20.2
2000	14.9	14.3	5.8	15.1	16.9	16.2	16.8	17.2	16.8	17.0	6.4	17.3
2001	17.5	17.3	8.8	17.6	19.9	18.6	19.6	20.1	19.4	17.9	9.6	20.1
2002	18.3	17.8	10.0	18.6	20.4	19.3	19.9	20.9	20.0	18.3	10.1	20.6
2003	17.5	17.3	8.4	17.7	19.5	18.0	19.1	19.5	18.6	18.7	9.6	19.7
2004	16.3	16.1	7.2	16.2	18.3	17.0	17.6	18.5	17.7	16.5	8.3	18.4
2005	17.5	17.1	8.5	17.7	19.7	18.1	19.1	19.8	18.7	17.8	9.7	19.7
2006	20.6	20.4	11.1	20.3	21.6	19.3	20.9	21.3	20.2	21.6	13.6	21.9
2007	17.2	16.8	9.2	17.8	19.4	18.7	19.7	20.0	19.8	17.7	9.3	20.4
2008	17.4	16.8	7.7	17.6	18.7	17.1	18.5	18.7	18.3	17.9	9.7	19.2
2009	17.4	17.5	9.2	17.6	19.9	18.5	19.9	20.0	19.7	18.2	10.8	20.4
2010	19.0	18.9	10.1	19.0	20.4	18.9	20.1	20.6	20.1	19.5	11.8	20.7
2011	16.1	15.3	7.7	16.3	17.5	17.1	17.9	18.2	18.3	16.5	8.0	18.4
2012	17.8	17.4	10.1	18.1	20.2	19.4	20.1	21.3	20.6	18.0	10.1	21.1
2013	18.1	18.1	8.6	18.5	19.6	17.6	19.0	19.4	19.0	18.7	10.4	19.5
2014	19.1	18.6	9.2	19.2	20.4	18.6	19.8	20.4	19.5	19.2	11.3	20.5
