Rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	I-XII
1951	-0.8	1.2	1.4	8.4	12.0	16.6	17.6	19.2	15.1	6.7	6.6	1.7	8.8
1952	-0.7	-1.6	-2.6	10.3	11.5	15.2	18.5	19.2	11.4	7.0	2.0	-1.6	7.4
1953	-2.2	-1.6	2.6	9.1	12.2	17.8	19.4	16.4	13.5	10.1	3.1	-0.2	8.3
1954	-7.5	-7.8	3.3	4.4	12.9	17.9	16.1	17.4	14.7	8.3	3.1	2.5	7.1
1955	-3.0	-2.7	-0.3	4.6	10.9	15.2	18.0	17.3	13.7	8.5	3.1	1.0	7.2
1956	-1.2	-11.9	0.3	6.0	12.2	15.6	17.1	15.5	13.1	7.7	-0.9	-0.1	6.1
1957	-1.1	2.5	3.7	7.9	10.1	18.1	18.3	15.4	11.6	8.5	4.4	-1.1	8.2
1958	-2.5	1.1	-2.4	4.7	15.7	15.1	18.2	16.9	12.9	9.2	3.6	1.7	7.9
1959	-1.3	-2.6	5.2	8.5	12.7	15.6	19.5	17.5	11.2	7.6	3.1	1.0	8.2
1960	-2.5	-2.7	2.9	6.2	12.6	16.2	15.8	16.3	12.3	9.7	5.2	2.2	7.9
1961	-3.6	1.5	5.4	11.2	11.2	17.4	15.8	16.3	14.7	10.7	3.7	-3.6	8.4
1962	-0.3	-2.2	-1.2	9.9	10.8	14.2	15.8	17.2	12.1	8.4	4.1	-4.4	7.0
1963	-10.2	-7.0	0.2	8.9	13.7	17.0	19.5	18.1	14.9	8.3	7.5	-4.3	7.2
1964	-4.9	-2.8	-1.5	8.4	13.2	19.1	18.2	15.8	13.1	8.2	4.1	-0.5	7.5
1965	-0.4	-5.6	1.8	6.3	10.5	16.0	16.2	15.3	14.4	7.5	-0.1	1.0	6.9
1966	-5.1	2.8	2.5	9.7	13.1	16.6	17.0	16.5	12.9	12.8	2.9	0.2	8.5
1967	-3.0	0.8	4.9	7.5	13.6	15.9	19.2	17.1	15.6	11.2	3.9	-1.6	8.8
1968	-3.4	0.7	3.6	9.4	11.9	17.4	16.4	16.6	13.6	8.4	5.0	-3.9	8.0
1969	-4.7	-2.0	-0.8	7.4	14.9	15.6	18.1	16.3	13.8	8.8	5.5	-6.8	7.2
1970	-4.2	-3.4	0.9	7.0	11.5	16.6	17.2	16.9	11.8	7.9	5.4	-0.1	7.3
1971	-3.0	0.3	0.1	8.1	14.9	14.9	17.9	18.7	11.0	7.9	2.2	2.4	8.0
1972	-5.2	0.7	5.0	7.6	12.9	16.6	18.9	16.2	11.2	5.9	4.2	-0.7	7.8
1973	-1.7	0.7	3.6	6.7	12.7	15.3	17.0	17.4	13.7	7.0	1.6	-0.3	7.8
1974	0.1	3.0	5.3	7.9	11.5	13.9	15.9	18.2	13.1	5.6	3.7	2.4	8.4
1975	2.8	-0.9	4.6	7.3	13.9	15.6	18.3	17.9	16.1	8.1	1.6	0.3	8.8
1976	-1.6	-2.1	-0.3	7.7	12.8	15.7	18.1	14.8	12.5	9.3	5.1	-1.0	7.6
1977	-1.0	1.3	6.3	6.4	12.7	16.8	16.4	16.2	11.1	9.9	5.0	-1.5	8.3
1978	-0.7	-2.0	4.5	6.3	11.5	15.0	15.7	15.5	11.5	9.1	3.0	-2.1	7.3
1979	-4.7	-3.2	3.9	6.7	13.9	18.2	15.4	16.5	13.7	6.7	3.2	2.9	7.8
1980	-5.5	0.0	1.0	5.7	9.9	15.0	16.0	16.2	12.4	8.4	2.0	-0.8	6.7
1981	-3.3	-0.9	5.8	6.6	14.0	16.9	17.2	16.9	13.9	8.9	3.2	-2.6	8.1
1982	-4.5	-1.6	4.2	5.8	13.7	16.3	18.7	18.4	15.9	9.6	5.0	1.1	8.5
1983	2.7	-2.5	4.5	10.4	15.0	16.7	19.6	17.9	14.5	9.1	2.2	0.0	9.2
1984	0.1	-1.3	1.5	8.2	12.8	14.4	15.4	17.3	13.2	10.6	3.3	-1.5	7.8
1985	-8.1	-6.8	3.1	8.2	14.4	13.6	17.6	17.2	12.9	8.1	0.4	2.8	7.0
1986	-1.4	-7.8	2.5	9.9	15.0	16.0	17.0	17.0	11.6	8.9	5.1	-0.6	7.8
1987	-9.8	-0.6	-2.0	7.8	11.2	16.0	18.4	15.2	14.4	9.3	4.7	0.5	7.1
1988	2.3	1.4	1.2	7.8	14.5	15.8	18.9	17.8	13.6	8.7	-0.2	0.8	8.5
1989	0.9	3.4	6.0	9.5	13.4	14.6	17.8	17.6	14.4	10.4	2.0	1.5	9.3
1990	0.7	4.9	6.8	7.8	13.8	16.1	16.8	17.6	11.2	9.4	5.0	-0.6	9.1
1991	-0.3	-4.1	5.5	7.2	10.0	15.3	19.2	17.7	14.2	7.5	3.8	-2.0	7.8
1992	-0.8	1.3	3.6	8.2	13.1	18.3	19.7	22.1	13.2	6.6	3.9	-1.1	9.0
1993	0.2	-1.3	1.8	8.9	16.0	15.6	16.8	17.1	12.9	9.0	-0.2	2.2	8.3
1994	2.9	-1.3	5.3	8.9	12.9	16.5	21.2	18.6	14.9	6.9	4.3	1.1	9.3
1995	-1.2	3.4	2.9	8.2	12.5	16.4	20.3	17.7	12.8	10.5	0.5	-3.9	8.3
1996	-5.0	-4.7	-1.4	8.0	14.2	16.9	16.2	17.5	10.3	9.3	6.0	-5.5	6.8
1997	-5.0	2.0	3.4	5.1	13.9	16.7	17.0	18.0	13.0	6.7	3.7	0.9	7.9
1998	1.1	3.8	2.4	10.6	14.1	17.9	17.9	17.3	13.4	8.3	-0.0	-2.0	8.7
1999	0.5	-0.8	4.9	10.0	13.7	16.6	19.8	17.1	16.3	8.6	2.3	0.4	9.1
2000	-1.9	2.7	4.0	11.9	15.2	17.6	16.5	18.7	12.3	12.5	7.3	1.7	9.9
2001	-0.4	0.6	3.6	7.9	14.6	14.6	19.3	19.1	11.9	11.8	2.0	-3.8	8.4
2002	-0.8	4.2	5.4	8.8	16.8	17.4	20.0	19.5	12.6	7.4	5.6	-4.7	9.4
2003	-2.4	-4.0	3.1	7.7	16.0	19.0	19.0	19.5	14.0	5.6	5.5	0.6	8.6
2004	-3.9	0.3	3.3	9.2	12.2	16.1	17.8	18.4	13.4	10.4	4.1	0.8	8.5
2005	0.3	-3.2	1.1	9.5	13.7	16.5	18.9	16.8	14.6	9.4	2.5	-0.9	8.3
2006	-7.3	-2.7	0.4	9.3	13.5	17.5	21.8	16.7	15.6	10.5	6.1	3.6	8.8
2007	3.6	1.8	6.0	10.3	15.4	18.5	19.2	18.7	12.2	7.8	1.2	-0.5	9.5
2008	1.9	2.9	4.1	8.8	13.8	18.3	18.7	17.9	12.7	9.9	5.5	1.4	9.7
2009	-2.6	-0.8	2.9	12.2	14.0	15.8	19.5	18.6	15.2	7.4	5.9	-0.5	9.0
2010	-6.0	-1.2	3.5	8.9	12.4	17.3	20.4	18.1	12.0	5.9	6.5	-5.0	7.7
2011	-0.7	-2.4	4.0	10.7	13.6	18.2	17.2	19.0	15.0	8.6	2.6	2.3	9.0
2012	-0.8	-6.1	4.8	9.8	15.1	17.7	19.9	18.9	14.4	8.6	5.8	-2.0	8.8
2013	-2.4	-0.2	-0.6	9.0	13.7	17.2	19.5	18.7	11.8	10.4	5.1	2.3	8.7
2014	-0.2	3.4	6.8	10.5	13.4	16.0	20.3	17.1	15.1	10.2	6.5	1.4	10.0
2015	1.3	0.6	4.8	8.8	13.0	17.2	20.3	22.0	15.0	7.9	5.8	4.2	10.1
2016	-1.7	4.0	4.5	9.0	14.3	18.2	19.0	17.6	15.8	7.8	4.3	0.2	9.4
2017	-5.4	0.7	6.4	7.5	13.9	18.6	19.0	19.9	13.4	9.8	4.5	2.0	9.2
2018	1.6	-2.9	1.1	14.0	16.9	18.4	19.7	20.7	15.3	10.4	4.9	1.4	10.1
2019	-1.9	2.9	6.1	10.4	12.1	22.0	19.0	20.1	14.3	10.4	6.6	2.9	10.4
2020	1.2	4.2	5.0	9.8	11.0	17.6	18.5	19.7	14.7	10.2	4.9	1.7	9.9
2021	-0.7	-0.6	3.5	6.4	12.2	19.1	21.0	17.1	14.2	9.0	5.0	-0.2	8.8
